,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
2250,receiving money,receiving,50,True,True,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",2250,100,7,False,100
519,age limit,age,1,True,True,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",519,100,7,False,100
1731,declined transfer,declined transfer,27,True,True,True,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",1731,100,7,False,100
1210,unable to verify identity,unable,68,True,True,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",1210,100,7,False,100
1750,declined transfer,declined transfer,27,True,True,True,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",1750,100,7,False,100
1687,request refund,request,52,True,True,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",1687,100,7,False,100
891,supported cards and currencies,supported,54,True,True,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",891,100,7,False,100
1061,balance not updated after cheque or cash deposit,balance not updated after che,6,True,True,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",1061,100,7,False,100
2403,getting spare card,getting spare,39,True,True,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",2403,100,7,False,100
1898,cancel transfer,terminate,55,False,False,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",1898,100,7,False,100
2978,card payment not recognised,apple,2,False,False,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",2978,100,7,False,100
1427,card payment not recognised,comprom,22,True,False,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",1427,100,7,False,100
1526,wrong exchange rate for cash withdrawal,pass,44,True,False,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",1526,100,7,False,100
824,card payment fee charged,card payment fee,15,True,True,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",824,100,7,False,100
1983,card payment not recognised,transaction,63,True,False,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",1983,100,7,False,100
2132,change pin,change,21,False,True,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",2132,100,7,False,100
418,receiving money,exchange via,33,False,False,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",418,100,7,False,100
1345,transfer fee charged,to,62,False,False,False,"{7: 2, 75: 6, 0: 1, 47: 4, 66: 4, 76: 1, 27: 3, 38: 1, 48: 4, 46: 2, 41: 1, 52: 5, 44: 1, 56: 2, 13: 3, 20: 2, 45: 2, 26: 2, 53: 3, 18: 2, 24: 2, 63: 1, 8: 1, 30: 2, 64: 4, 59: 1, 28: 2, 32: 1, 9: 1, 15: 3, 54: 2, 14: 1, 31: 1, 5: 2, 50: 2, 12: 1, 16: 1, 6: 3, 35: 1, 29: 1, 17: 1, 37: 1, 57: 2, 22: 1, 1: 1, 19: 1, 68: 1, 61: 1, 40: 1, 4: 1, 58: 1, 49: 1, 11: 1, 73: 1, 39: 1}","[3232, 3758, 344, 7000, 3641, 948, 9629, 1492, 4059, 4615, 9631, 3961, 2640, 9899, 9596, 7370, 1061, 2177, 6036, 9193, 9349, 8121, 7918, 9784, 7198, 5916, 4055, 6570, 3078, 1649, 6159, 1377, 4268, 2292, 8165, 1438, 617, 1898, 5092, 5791, 7057, 9367, 4413, 8204, 2995, 8220, 618, 6368, 5195, 42, 9446, 6933, 1747, 1224, 5517, 3042, 4460, 5311, 7415, 4522, 2556, 7329, 4646, 3806, 2026, 9792, 2438, 1865, 5062, 2722, 4596, 3286, 400, 4704, 8762, 2598, 3001, 330, 6960, 7197, 2355, 2265, 8550, 5532, 4427, 3352, 3704, 3430, 8932, 1884, 5688, 468, 5735, 3643, 1486, 3408, 6554, 7372, 7894, 65]",1345,100,7,False,100
